[0130/121915:WARNING:raw_channel_win.cc(532)] WriteFile: The pipe is being closed. (0xE8)
[0130/121915:WARNING:channel.cc(359)] RawChannel write error
[0130/174148:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174149:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174149:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174153:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174154:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174154:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174158:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174159:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174159:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174200:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174203:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174204:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174204:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174205:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174209:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174209:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174209:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174210:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174214:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174214:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174214:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174215:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174219:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174219:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174219:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174220:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174224:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174224:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174224:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174225:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174229:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174229:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174229:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174231:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174234:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174234:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174234:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174236:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174239:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174239:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174239:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174241:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174244:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174244:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174244:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174246:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174249:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174249:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174249:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174251:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174254:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174254:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174254:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174256:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174259:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174259:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174259:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174301:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
